x,y
5021,2
5023,16
5039,12
5051,8
5059,18
5077,4
5081,6
5087,12
5099,2
5101,6
5107,6
5113,6
5119,28
5147,6
5153,14
5167,4
5171,8
5179,10
5189,8
5197,12
5209,18
5227,4
5231,2
5233,4
5237,24
5261,12
5273,6
5279,2
5281,16
5297,6
5303,6
5309,14
5323,10
5333,14
5347,4
5351,30
5381,6
5387,6
5393,6
5399,8
5407,6
5413,4
5417,2
5419,12
5431,6
5437,4
5441,2
5443,6
5449,22
5471,6
5477,2
5479,4
5483,18
5501,2
5503,4
5507,12
5519,2
5521,6
5527,4
5531,26
5557,6
5563,6
5569,4
5573,8
5581,10
5591,32
5623,16
5639,2
5641,6
5647,4
5651,2
5653,4
5657,2
5659,10
5669,14
5683,6
5689,4
5693,8
5701,10
5711,6
5717,20
5737,4
5741,2
5743,6
5749,30
5779,4
5783,8
5791,10
5801,6
5807,6
5813,8
5821,6
5827,12
5839,4
5843,6
5849,2
5851,6
5857,4
5861,6
5867,2
5869,10
5879,2
5881,16
5897,6
5903,20
5923,4
5927,12
5939,14
5953,28
5981,6
5987,20
6007,4
6011,18
6029,8
6037,6
6043,4
6047,6
6053,14
6067,6
6073,6
6079,10
6089,2
6091,10
6101,12
6113,8
6121,10
6131,2
6133,10
6143,8
6151,12
6163,10
6173,24
6197,2
6199,4
6203,8
6211,6
6217,4
6221,8
6229,18
6247,10
6257,6
6263,6
6269,2
6271,6
6277,10
6287,12
6299,2
6301,10
6311,6
6317,6
6323,6
6329,8
6337,6
6343,10
6353,6
6359,2
6361,6
6367,6
6373,6
6379,10
6389,8
6397,24
6421,6
6427,22
6449,2
6451,18
6469,4
6473,8
6481,10
6491,30
6521,8
6529,18
6547,4
6551,2
6553,10
6563,6
6569,2
6571,6
6577,4
6581,18
6599,8
6607,12
6619,18
6637,16
6653,6
6659,2
6661,12
6673,6
6679,10
6689,2
6691,10
6701,2
6703,6
6709,10
6719,14
6733,4
6737,24
6761,2
6763,16
6779,2
6781,10
6791,2
6793,10
6803,20
6823,4
6827,2
6829,4
6833,8
6841,16
6857,6
6863,6
6869,2
6871,12
6883,16
6899,8
6907,4
6911,6
6917,30
6947,2
6949,10
6959,2
6961,6
6967,4
6971,6
6977,6
6983,8
6991,6
6997,4
7001,12
7013,6
7019,8
7027,12
7039,4
7043,14
7057,12
7069,10
7079,24
7103,6
7109,12
7121,6
7127,2
7129,22
7151,8
7159,18
7177,10
7187,6
7193,14
7207,4
7211,2
7213,6
7219,10
7229,8
7237,6
7243,4
7247,6
7253,30
7283,14
7297,10
7307,2
7309,12
7321,10
7331,2
7333,16
7349,2
7351,18
7369,24
7393,18
7411,6
7417,16
7433,18
7451,6
7457,2
7459,18
7477,4
7481,6
7487,2
7489,10
7499,8
7507,10
7517,6
7523,6
7529,8
7537,4
7541,6
7547,2
7549,10
7559,2
7561,12
7573,4
7577,6
7583,6
7589,2
7591,12
7603,4
7607,14
7621,18
7639,4
7643,6
7649,20
7669,4
7673,8
7681,6
7687,4
7691,8
7699,4
7703,14
7717,6
7723,4
7727,14
7741,12
7753,4
7757,2
7759,30
7789,4
7793,24
7817,6
7823,6
7829,12
7841,12
7853,14
7867,6
7873,4
7877,2
7879,4
7883,18
7901,6
7907,12
7919,8
7927,6
7933,4
7937,12
7949,2
7951,12
7963,30
7993,16
8009,2
8011,6
8017,22
8039,14
8053,6
8059,10
8069,12
8081,6
8087,2
8089,4
8093,8
8101,10
8111,6
8117,6
8123,24
8147,14
8161,6
8167,4
8171,8
8179,12
8191,18
8209,10
8219,2
8221,10
8231,2
8233,4
8237,6
8243,20
8263,6
8269,4
8273,14
8287,4
8291,2
8293,4
8297,14
8311,6
8317,12
8329,24
8353,10
8363,6
8369,8
8377,10
8387,2
8389,30
8419,4
8423,6
8429,2
8431,12
8443,4
8447,14
8461,6
8467,34
8501,12
8513,8
8521,6
8527,10
8537,2
8539,4
8543,20
8563,10
8573,8
8581,16
8597,2
8599,10
8609,14
8623,4
8627,2
8629,12
8641,6
8647,16
8663,6
8669,8
8677,4
8681,8
8689,4
8693,6
8699,8
8707,6
8713,6
8719,12
8731,6
8737,4
8741,6
8747,6
8753,8
8761,18
8779,4
8783,20
8803,4
8807,12
8819,2
8821,10
8831,6
8837,2
8839,10
8849,12
8861,2
8863,4
8867,20
8887,6
8893,30
8923,6
8929,4
8933,8
8941,10
8951,12
8963,6
8969,2
8971,28
8999,2
9001,6
9007,4
9011,2
9013,16
9029,12
9041,2
9043,6
9049,10
9059,8
9067,24
9091,12
9103,6
9109,18
9127,6
9133,4
9137,14
9151,6
9157,4
9161,12
9173,8
9181,6
9187,12
9199,4
9203,6
9209,12
9221,6
9227,12
9239,2
9241,16
9257,20
9277,4
9281,2
9283,10
9293,18
9311,8
9319,4
9323,14
9337,4
9341,2
9343,6
9349,22
9371,6
9377,14
9391,6
9397,6
9403,10
9413,6
9419,2
9421,10
9431,2
9433,4
9437,2
9439,22
9461,2
9463,4
9467,6
9473,6
9479,12
9491,6
9497,14
9511,10
9521,12
9533,6
9539,8
9547,4
9551,36
9587,14
9601,12
9613,6
9619,4
9623,6
9629,2
9631,12
9643,6
9649,12
9661,16
9677,2
9679,10
9689,8
9697,22
9719,2
9721,12
9733,6
9739,4
9743,6
9749,18
9767,2
9769,12
9781,6
9787,4
9791,12
9803,8
9811,6
9817,12
9829,4
9833,6
9839,12
9851,6
9857,2
9859,12
9871,12
9883,4
9887,14
9901,6
9907,16
9923,6
9929,2
9931,10
9941,8
9949,18
9967,6
9973,34
10007,2
10009,28
10037,2
10039,22
10061,6
10067,2
10069,10
10079,12
10091,2
10093,6
10099,4
10103,8
10111,22
10133,6
10139,2
10141,10
10151,8
10159,4
10163,6
10169,8
10177,4
10181,12
10193,18
10211,12
10223,20
10243,4
10247,6
10253,6
10259,8
10267,4
10271,2
10273,16
10289,12
10301,2
10303,10
10313,8
10321,10
10331,2
10333,4
10337,6
10343,14
10357,12
10369,22
10391,8
10399,28
10427,2
10429,4
10433,20
10453,4
10457,2
10459,4
10463,14
10477,10
10487,12
10499,2
10501,12
10513,16
10529,2
10531,28
10559,8
10567,22
10589,8
10597,4
10601,6
10607,6
10613,14
10627,4
10631,8
10639,12
10651,6
10657,6
10663,4
10667,20
10687,4
10691,18
10709,2
10711,12
10723,6
10729,4
10733,6
10739,14
10753,18
10771,10
10781,8
10789,10
10799,32
10831,6
10837,10
10847,6
10853,6
10859,2
10861,6
10867,16
10883,6
10889,2
10891,12
10903,6
10909,28
10937,2
10939,10
10949,8
10957,16
10973,6
10979,8
10987,6
10993,10
11003,24
11027,20
11047,10
11057,2
11059,10
11069,2
11071,12
11083,4
11087,6
11093,20
11113,4
11117,2
11119,12
11131,18
11149,10
11159,2
11161,10
11171,2
11173,4
11177,20
11197,16
11213,26
11239,4
11243,8
11251,6
11257,4
11261,12
11273,6
11279,8
11287,12
11299,12
11311,6
11317,4
11321,8
11329,22
11351,2
11353,16
11369,14
11383,10
11393,6
11399,12
11411,12
11423,14
11437,6
11443,4
11447,20
11467,4
11471,12
11483,6
11489,2
11491,6
11497,6
11503,16
11519,8
11527,22
11549,2
11551,28
11579,8
11587,6
11593,4
11597,20
11617,4
11621,12
11633,24
11657,20
11677,4
11681,8
11689,10
11699,2
11701,16
11717,2
11719,12
11731,12
11743,34
11777,2
11779,4
11783,6
11789,12
11801,6
11807,6
11813,8
11821,6
11827,4
11831,2
11833,6
11839,24
11863,4
11867,20
11887,10
11897,6
11903,6
11909,14
11923,4
11927,6
11933,6
11939,2
11941,12
11953,6
11959,10
11969,2
11971,10
11981,6
11987,20
12007,4
12011,26
12037,4
12041,2
12043,6
12049,22
12071,2
12073,24
12097,4
12101,6
12107,2
12109,4
12113,6
12119,24
12143,6
12149,8
12157,4
12161,2
12163,34
12197,6
12203,8
12211,16
12227,12
12239,2
12241,10
12251,2
12253,10
12263,6
12269,8
12277,4
12281,8
12289,12
12301,22
12323,6
12329,14
12343,4
12347,26
12373,4
12377,2
12379,12
12391,10
12401,8
12409,4
12413,8
12421,12
12433,4
12437,14
12451,6
12457,16
12473,6
12479,8
12487,4
12491,6
12497,6
12503,8
12511,6
12517,10
12527,12
12539,2
12541,6
12547,6
12553,16
12569,8
12577,6
12583,6
12589,12
12601,10
12611,2
12613,6
12619,18
12637,4
12641,6
12647,6
12653,6
12659,12
12671,18
12689,8
12697,6
12703,10
12713,8
12721,18
12739,4
12743,14
12757,6
12763,18
12781,10
12791,8
12799,10
12809,12
12821,2
12823,6
12829,12
12841,12
12853,36
12889,4
12893,6
12899,8
12907,4
12911,6
12917,2
12919,4
12923,18
12941,12
12953,6
12959,8
12967,6
12973,6
12979,4
12983,18
13001,2
13003,4
13007,2
13009,24
13033,4
13037,6
13043,6
13049,14
13063,30
13093,6
13099,4
13103,6
13109,12
13121,6
13127,20
13147,4
13151,8
13159,4
13163,8
13171,6
13177,6
13183,4
13187,30
13217,2
13219,10
13229,12
13241,8
13249,10
13259,8
13267,24
13291,6
13297,12
13309,4
13313,14
13327,4
13331,6
13337,2
13339,28
13367,14
13381,16
13397,2
13399,12
13411,6
13417,4
13421,20
13441,10
13451,6
13457,6
13463,6
13469,8
13477,10
13487,12
13499,14
13513,10
13523,14
13537,16
13553,14
13567,10
13577,14
13591,6
13597,16
13613,6
13619,8
13627,6
13633,16
13649,20
13669,10
13679,2
13681,6
13687,4
13691,2
13693,4
13697,12
13709,2
13711,10
13721,2
13723,6
13729,22
13751,6
13757,2
13759,4
13763,18
13781,8
13789,10
13799,8
13807,22
13829,2
13831,10
13841,18
13859,14
13873,4
13877,2
13879,4
13883,18
13901,2
13903,4
13907,6
13913,8
13921,10
13931,2
13933,30
13963,4
13967,30
13997,2
13999,10
14009,2
14011,18
14029,4
14033,18
14051,6
14057,14
14071,10
14081,2
14083,4
14087,20
14107,36
14143,6
14149,4
14153,6
14159,14
14173,4
